"City","Location","Building","Floor","Room","Department"
"","","","","N224 Diabetes Nutrition",""
"","","","","N225",""
"","","","","N226",""
"","","","","N227",""
"","","","","N228",""
"","","","","N230",""
"","","","","N231",""
"","","","","N232",""
"","","","","N232 Genetics",""
"","","","","N233",""
"","","","","N234",""
"","","","","N234 Genetics",""
"","","","","N235 Genetics",""
"","","","","N236 Genetics",""
"","","","","N237 Genetics",""
"","","","","N238 Genetics",""
"","","","","N240",""
"","","","","N241",""
"","","","","N241a",""
"","","","","N241A",""
"","","","","N243",""
"","","","","N243 D",""
"","","","","N243 WFH",""
"","","","","N247",""
"","","","","N249",""
"","","","","N250",""
"","","","","N251",""
"","","","","N252",""
"","","","","N254",""
"","","","","N256",""
"","","","","N258",""
"","","","","N260",""
"","","","","N265",""
"","","","","N265 Genetics",""
"","","","","N265A Genetics",""
"","","","","N268",""
"","","","","N268 D",""
"","","","","N273",""
"","","","","N275",""
"","","","","N277 UMAC",""
"","","","","N279",""
"","","","","N280",""
"","","","","N284",""
"","","","","N285",""
"","","","","N285 DRAGON",""
"","","","","N285A",""
"","","","","N285a",""
"","","","","N286",""
"","","","","N287",""
"","","","","N290",""
"","","","","N291",""
"","","","","n292",""
"","","","","N292",""
"","","","","N293",""
"","","","","N293A",""
"","","","","N3 C Hallway",""
"","","","","N3 C nurses station",""
"","","","","N3 C Nursing station",""
"","","","","N3 D Nursing station",""
"","","","","N3 PICU",""
"","","","","N300 C DRAGON",""
"","","","","N303 C adjacent",""
"","","","","N306 C adjacent",""
"","","","","N306A",""
"","","","","N308 c",""
"","","","","N308 C",""
"","","","","N308 C adjacent",""
"","","","","N311",""
"","","","","N311A",""
"","","","","N313 D",""
"","","","","N314",""
"","","","","N316 D",""
"","","","","N318 D",""
"","","","","N321",""
"","","","","N325",""
"","","","","N326",""
